A,B,C
0,0.024618441,0.10320679
0,0.045165583,0.19490969
0.08839782,0.20547229,0
0.0575442,0.030284822,0.14800277
0.09062287,0,0.2548952
0,0.115780845,0.15579216
0.030332366,0.023919925,0.051756676
0.030382922,0.0018664,0.05176711
0,0.013110362,0.018784897
0.030376574,0.011600504,0.016700946
0,0.011416292,0.006874673
0,0.027415209,0.021185486
0,0.20484577,0.022061864
0.09027481,0.009071667,0.0735732
0.061271943,0.02753857,0.013495733
0.030684587,0.10763149,0.001844819
0,0.020783586,0.01472714
0,0.00314235,0.115957916
0,0.07013795,0.029148102
0.09120648,0.16523096,0.1605828
0.6380612,0.018847218,0.0670953
0,0.007697928,0.15087385
0.060687836,0.05213312,0.047217004
0,0.004711989,0.005274366
0,0.11694039,0
0,0.44692227,0
0,0.006715884,0.001010329
0,0,0.025480365
0.059434343,0.035877816,0.06235267
0.06030891,0.051792815,0.2934258
0,0.008256173,0.010179816
0.061300945,0.017250223,0.021347404
0,0.005745316,0.04049192
0,0,0
0,0.01316511,0.20966133
0.03051036,0.016097372,0.019214995
0,0.008430688,0.05330975
0.35878822,0.014414429,0.08287896
0,0.010303932,0.012922759
0,0.000436223,0.015410998
0,0.000280982,0.021409241
0,0.004538404,0.01945731
0,0.084062606,0.000103467
0,0.01785237,0.01750038
0.029516904,0.005554415,0.016042618
0.119323164,0.007995525,0.14758444
0,0.024174739,0.03412341
0.061322108,0.023708144,0.017139576
0.05942422,0.070469804,0.013409914
0.030644266,0.007080067,0.008452508
0.12216702,0.019780092,0.05340908
0.09186083,0.007181523,0.16552451
0,0.08599311,0.052020527
0,0.08996265,0.019233674
0.030742943,0.01390026,0.06531545
0,0.064021885,0.022202251
0,0.003773995,0.124404304
0,0.01127617,0.02602928
0,0.010446281,0.024216317
0,0.000537499,0.30295587
0.059978627,0.012560764,0.19265473
0,0.001717038,0.26976478
0,0.017424343,0.04476177
0,0,0.010635624
0.030654248,0.007626991,0.03591367
0,0.026597654,0.010233311
0.030570647,0.01875337,0.004904131
0.030525092,0.07804911,0.012241854
0,0.008799325,0.037279118
0.118767925,0.013427347,0.034707602
0.030740447,0.0571772,0.013603197
0.030660717,0.051324468,0.027245712
0.03024974,0.009297562,0.006161359
0,0.015283052,0.020687694
0.09024667,0.007027841,0.044475127
0,0.007371085,0.3300346
0.030749884,0.031868786,0.30765587
0.09144984,0.000967348,0.040468853
0.030608883,0.085209034,0.030186187
0,0.005193941,0.17295304
0.0576192,0.039959718,0.09772882
0.030344088,0.017247906,0.004757462
0.030590512,0.028415114,0.04355959
0.030347664,0.008224328,0.10332814
0,0.01184948,0.00834955
0,0.008447071,0.007022559
0,0.011871191,0.1381366
0.058568712,0.021200567,0.027911887
0.1531287,0.008633505,0.013877164
0.5360971,0.00929582,0.030584333
0.17612877,0,0.004525401
0.029667659,0.002512748,0.025527444
0,0.006707722,0.09008906
0,0.006491895,0.021605965
0.030390538,0.019915767,0.010495164
0,0.008059933,0.1390021
0,0.004861316,0.020864733
0,0.001011119,0.0994011
0,0.19529279,0.20042741
0.030619763,0.009392701,0.042422775
0,0.04902703,0.08751699
0.029895902,0.21194556,0.080145925
0,0.005106129,0.04666131
0.030662721,0.004689726,0.024040133
0.061028708,0.003089595,0.01593452
0.030176364,0.008456869,0.037208162
0.030239152,0.03844147,0
0.03060193,0.006726197,0.069892846
0.03050575,0.24362262,0.05325428
0,0.008550825,0.07975086
0.030543366,0.3182759,0.002096703
0,0.07365141,0.006805779
0,0,0.042783078
0.030584536,0.016835133,0.396842
0,0.009164457,0.05091954
0,0.23363489,0.026917549
0,0.007406178,0.12428984
0,0.012741829,0.22513196
0.06087351,0.007465154,0.22911906
0,0.031466905,0.067436144
0,0.003707328,0.29040578
0,0.009518815,0.14871472
0.03038966,0.015221763,0.07507403
0,0.61627936,0.12386565
0.030457212,0.020849137,0.0363485
0.030678326,0.06389115,0.0900693
0.030762233,0.077503,0.15591127
0,0.021325262,0.114849046
0.060924776,0.000474119,0.047337152
0.03065805,0.001970625,0.19857424
0.030637236,0.007814582,0.3521567
0,0.010378795,0.000489434
0.060800273,0.005000035,0.03249472
0,0.059964877,0.06717633
0,0.0359824,0.0022189
0,0.025358522,0.1649921
0,0.006786405,0.002336452
0.027945546,0.023197249,0.035686728
0,0.007833733,0.06252586
0.03026003,0.006445435,0.07945873
0,0.012102207,0.009843826
0,0.011280833,0.065330856
0.030645067,0.024694582,0.045786813
0.030590242,0.042731997,0.004985879
0,0,0.018400043
0,0.016630223,0.010406045
0.030715693,0.00609633,0.37733492
0,0.007438136,0.058449063
0,0.056191362,0.13553269
0,0.03802463,0.09332238
0.030763797,0.31009665,0.058458038
0.09224572,0.5978508,0
0.060742877,0.003997007,0.021863893
0.060657177,0.00100996,0.056279577
0,0.18993619,0.017880173
0.060663387,0.004544884,0.04085565
0,0.013905959,0.000248522
0,0.021076107,0.17187084
0.030749995,0.011946813,0.023826638
0,0.033007827,0.07162704
0,0.004508112,0.0657007
0,0.42343694,0.23872751
0,0.008565999,0.053799476
0.030412165,0.23937045,0.26032376
0.030673927,0.012679096,0.143429
0.027058851,0.06778402,0.028226502
