MF: BRCA,METH: BRCA,GE: BRCA
0.005282417,0.005897829,0.07858284
0.005301615,0.135307,0.17539604
0.015765347,0.23247889,0.3668422
0.014866316,0.021526748,0.121747464
0.031121653,0,0.25272244
0,0.10520608,0.14653452
0.005295405,0.003539232,0.076096006
0.00530297,0.005789992,0.036934957
0.005304261,0.007685581,0.000908264
0.005312635,0.013879604,0.034374252
0.005297292,0.001231891,0.013753744
0.010581797,0.036466803,0.03334428
0.005310376,0.18951803,0.00776296
0,0.002108332,0.08739226
0.005312419,0.01549035,0.037880063
0,0.017330965,0.05737151
0,0.00315096,0.04484641
0.005306393,0.003533846,0.07262387
0.01580901,0.28355017,0.36705506
0.005295184,0.25444132,0.21053214
1,0.013236701,0.09618794
0.094295286,0.000462759,0.21558274
0.005230183,0.027197223,0.055580772
0.005256877,0.018308025,0.07617458
0,0.041655242,0.10223336
0.00529922,0.22702718,0
0,0.007895181,0.005726002
0,0,0
0.010441682,0.029967288,0.3248293
0,0.1251901,0
0.00522898,0.010371626,0.009681977
0.005252934,0.001357002,0.042179566
0.005305907,0.005165999,0.013597246
0,0,0
0.010470401,0.014979724,0.19343506
0.010507211,0.021036774,0.011881553
0.010586334,0.002253309,0.026101671
0.03662793,0.010533766,0.079039566
0.026365763,0.00544086,0.014188159
0.015772153,0.009611625,0.0037716
0,0.0016007,0.051204108
0,0.015055759,0.02413606
0.005273275,0.037439607,0.03443681
0,0.007219566,0.04543207
0,0.006645372,0.07745685
0.041130334,0.02460167,0.080118805
0.005301604,0.003419555,0.023016253
0.015814655,0.009765442,0.027830232
0.036313977,0.106332086,0.038870815
0.005292605,0.000169776,0.03332492
0.052929517,0.006219234,0.007800238
0.005310197,0.001087864,0.14821646
0,0.016994601,0.012987337
0.005310884,0.008220607,0.007726831
0.010620772,0.002617569,0.11628594
0.010624885,0.07718804,0.015260468
0,0.06337893,0.044133753
0,0.000921222,0.0860702
0.015918331,0.003485262,0.000843408
0,0.014121597,0.20682067
0.030996505,0.003619149,0.1325139
0.005308777,0.000293196,0.24749212
0.005306398,0.03388261,0.008438632
0.021172153,0,0.000104649
0.005309,0.005778125,0.031455755
0.015891911,0.000717348,0.062425192
0.005305912,0.008072096,0.001119779
0,0.033591334,0.006868458
0.010405387,0.024922917,0.025040885
0.005296108,0.001271658,0.054024566
0.005311477,0.000923526,0.001676611
0.010605708,0.04155601,0.010448185
0.015889945,0.013521732,0.027826594
0.015884828,0.002832959,0.03336289
0,0.003497514,0.1071387
0.00516644,0.003940677,0.31134936
0.005313545,0.003548145,0.26189464
0.02120709,0.009691956,0.055660617
0,0.03700328,0.007472872
0.015814908,0.00964495,0.14180699
0,0.09039994,0.14765343
0.0052943,0.009240114,0.00900884
0.005298672,0.03093167,0.018226378
0.010569322,0.008704588,0.096294895
0.005303782,0.01257026,0.00329374
0.005285502,0.003800727,0.019744836
0,0.001376176,0.017658204
0.005275332,0.035539433,0.029942429
0.13771497,0.001223803,0.07191787
0.45052165,0.008186315,0.003040709
0.00522053,0,0.055547286
0.010333133,0.004306426,0.008827597
0,0.001983188,0.072940595
0,0.001086347,0.00123321
0,0.08912981,0.031849828
0,0.2677755,0.10894597
0.005312638,0.028515004,0.15701349
0.005275177,0.018079987,0.04288898
0,0.24895403,0.44363108
0.010578252,0.000518316,0.036052942
0.005301653,0.02212389,0.063205406
0,0.08696403,0.089967474
0,0.005742304,0.005536596
0.005231912,0.062223647,0.1848268
0.015579326,0.011859252,0.08571315
0.020888736,0.003724055,0.007921459
0.005305272,0.020104788,0
0,0.011406915,0.04559359
0.015903458,0.1643981,0.02162918
0.005314202,0.014826013,0.05046041
0,0.0897251,0.15358151
0,0.029962178,0.10257769
0.005310367,0,0.04519293
0,0.005053823,0.41315284
0.005299775,0.005575344,0.17247169
0.005294458,0.35792205,0.05570454
0.005311583,0.00023134,0.08914269
0,0.002053442,0.23793991
0,0.037823446,0.34106886
0,0.060830496,0.049297825
0,0.004539546,0.3208843
0.010620714,0.00560849,0.120312616
0,0.001759802,0.09841197
0,0.30248156,0.02344217
0.021158196,0.004172338,0.04332545
0.01594165,0.000655117,0.104313575
0.005315741,0.18595025,0.2079364
0.005289777,0.011805322,0.2572246
0.010520846,0.002731707,0.041234516
0.010619589,0.000520289,0.21321373
0.010575538,0.002887568,0.38225627
0.010513371,0.008139518,0.009595627
0.010573743,0.001247017,0.003171854
0.005303044,0.013743364,0.01868234
0.010578468,0.001541438,0.07011272
0.015922977,0.18904619,0.009306561
0.005226508,0.006050164,0.027503723
0.005263459,0.009710196,0.000659509
0,0.005502916,0.09284407
0.015829107,0.001942347,0.106670015
0,0.003305494,0.04364324
0.010539362,0.008713986,0.056185547
0.021238776,0.020430477,0.014894839
0.010557472,0.018917399,0.015441414
0.005013186,0,0.021174543
0.005314994,0.006490816,0.076864064
0,0.017921122,0.39132306
0.015931383,0.09715231,0.051702112
0,0.13225387,0.10738458
0.010619693,0.027547954,0.13207749
0,0.683136,0
