MF: LIHC,METH: LIHC,GE: LIHC
0,0.02409095,0.04508911
0.024799367,0.121389784,0.02456546
0.04888432,0.022383066,0
0.07413828,0.09487287,0.05445005
0.02475754,0,0.16073792
0,0.04218957,0.10341592
0,0.001874477,0.025174268
0.04991021,0.003110747,0.04727783
0,0.010725554,0.028055258
0.024867203,0.003037083,0.081672855
0,0.016670007,0.031092724
0,0.02946127,0.012175752
0,0.17694564,0.08545776
0.099678926,0.006199551,0.11442073
0.024989758,0.045701545,0.11549555
0,0.07727628,0.015565271
0,0.008111767,0.043590702
0,0.000172639,0.009572384
0.049145605,0.04108101,0.04913137
0.024948006,0.39829472,0.044588346
0.12368379,0.008975087,0.00789074
0,0.001050958,0.03303793
0.049840927,0.04761587,0.13426825
0,0.019038025,0.044501204
0,0.1809611,0
0,0.6609744,0
0.024980897,0.007694016,0.032096922
0,0,0
0,0.020445453,0.17428425
0,0.25587276,0
0,0.005691208,0.054115728
0.050058894,0.002219218,0.013393813
0.024987234,0.015136536,0.04674325
0,0,0
0.025028255,0.004721617,0.15296993
0,0.011176063,0.034693636
0,0.001651997,0.032957103
0.09817659,0.009852997,0.024325756
0,0.008646138,0.037879553
0.024532566,0.019444555,0.011469238
0,0.000253781,0.06471751
0.024975916,0.013882821,0.005579123
0,0.08015967,0.023975484
0.049930297,0.001490536,0.042099345
0.024751408,0.002836321,0.12875059
0.024711449,0.004873161,0.08252907
0,0.018936703,0.053242866
0.049995266,0.015297037,0.09058705
0.19885843,0.02759612,0.047445815
0,0.000821607,0.07369362
0.12476061,0.00437764,0.064009205
0.049930602,0.009145625,0.09408262
0,0.10516828,0.07926787
0,0.036888886,0.003248248
0,0.009007988,0.008981988
0,0.013910053,0.075506285
0,0.014584369,0.17799841
0,0.01238945,0.1306675
0,0.001677651,0.07668298
0.025043378,0.006771743,0.23555139
0.09947127,0.003120954,0.122659
0,0.000193108,0.21389562
0.0250244,0.016358169,0.00650312
0,0,0.008937992
0,0.000385971,0.09266061
0.024857022,0.00681045,0.0822661
0,0.001864296,0.04770273
0,0.040221773,0.02067739
0,3.08E-05,0.067552045
0,0.009171913,0.020544779
0.024983943,0.010965392,0.05173031
0,0.07160523,0.054721672
0.024878776,0.014788122,0.01579145
0,0.020549769,0.012930437
0.099130034,0.002093741,0.02972463
