MF: LUAD,METH: LUAD,GE: LUAD
0.060833227,0.001412545,0.029813632
0.060201995,0.024147179,0.06052957
0.03897436,0.31502855,0.542696
0.040062845,0.02130594,0.09459763
0.058908895,0,0.18551826
0,0.09515404,0.008232586
0.020564279,0.000288537,0.031933125
0.040820595,0.01361105,0.017154686
0,0.006265774,0.048641164
0.020269254,0.009428124,0.009191816
0,0.015484023,0.013582425
0,0.007100483,0.00755839
0.060974132,0.26301208,0.000945039
0.020053886,0.001409124,0.08974911
0.02054804,0.011241281,0.007610436
0.020526892,0.1836652,0.01940067
0.020434957,0.005282624,0.029677916
0,0.009854336,0.18667926
0.24219029,0.058721248,0.019618748
0.10019273,0.102307454,0.17907633
0.08180577,0.013004519,0.047488462
0,0.003689968,0.13142689
0,0.03188198,0.039650943
0.019549118,0.0315301,0.06950438
0,0.04860442,0
0.041052364,0.42490086,0
0.020120684,0.009058793,0.018239848
0,0,0.28096047
0.020537008,0.004755786,0.07366527
0.03984807,0.0898319,0.09982678
0,0.018630886,0.017676288
0.020519914,0.00322876,0.002143386
0.020155447,0.032621704,0.000609172
0,0,0
0,0.004130673,0.20807223
0,0.006876507,0.015169841
0.020244643,0.004818866,0.04795841
0.15857357,0.013673217,0.010836226
0.09944901,0.001904455,0.015656214
0.020449731,0.007397724,0.07203786
0.018467631,0.006570809,0.0522627
0.040723667,0.007816509,0.024967609
0,0.07626918,0.049905617
0,0.009652582,0.014730908
0.019245837,0.001919289,0.10167737
0.07575724,0.002709437,0.122632146
0,0.00256418,0.02727643
0.019753564,0.02352886,0.042862054
0.13952236,0.12936941,0.011665733
0.04034491,0.000141626,0.004391376
0.16203777,0.01590823,0.054272518
0,0.016375355,0.15879819
0.020559361,0.10634089,0.02622577
0.039747637,0.004262352,0.006506043
0,0.005958227,0.056822807
0.041021794,0.06298748,0.041722443
0,0.017036911,0.104867086
0,0.008226829,0.07622047
0,0.010083098,0.046454765
0,0.008045591,0.2523747
0.11722688,0.007100125,0.078633346
0.020462167,0.00438109,0.20923442
0.019482486,0.025190512,0.005739679
0,0,0.013528915
0.020497136,0.002085376,0.00427278
0.040817745,0.027619354,0.06776483
0.020139111,0.001785851,0.01930641
0.020441446,0.059145547,0.029519714
0.020279016,0.010183132,0.04349247
0.06026095,0.002465535,0.06174289
0,0.011277153,0.04327518
0.08148005,0.040782884,0.023950413
0.019869043,0.004411605,0.007019243
0.02044178,0.002112896,0.03092235
0.057229396,4.96E-05,0.012033881
0,0.002825003,0.22033064
0.020505622,0.0492232,0.3000984
0,0.000463412,0.055057205
0,0.07779264,0.006177363
0,0.025103409,0.08024754
0,0.012814391,0.03770312
0,0.015459796,0.013455707
0.020492086,0.013371815,0.02586537
0.020356271,0.012609542,0.079099484
0,0.01066263,0.04143029
0.02049514,0.004498767,0.010053646
0,0.004444214,0.14035535
0.020261807,0.008302229,0.015334734
0.10133118,0.001835018,0.004787244
0.84033215,5.45E-05,0.049834773
0.020369891,0,0.020111136
0.03301027,0.000645894,0.024893576
0,0.006353849,0.038527627
0,0.003180954,0.073333204
0,0.037712075,0.008335384
0,0.0731112,0.19105792
0,0.024432108,0.12902583
0,0.02274985,0.0337879
0,0.11514747,0.0887692
0.020294186,0.007365822,0.001469108
0,0.024329484,0.06908245
0.060509127,0.12085453,0.04447818
0,0.019942233,0.028198171
0,0.028074775,0.047208566
0.020208016,0.016505145,0.02998123
0,4.61E-05,0.005390495
0,0.016739745,0
0,0.013450723,0.055279706
0.03984815,0.33706295,0.26858348
0,0.030208062,0.082763344
0.039371233,0.03931949,0.031530757
0.020316133,0.045710348,0.010212145
0,0,0.08275834
0,0.006213203,0.38978925
0.01945349,0.005836262,0.06613827
0,0.40690446,0.023041362
0.020551227,0.003297702,0.04562331
